slug,nom_scientifique,ordre,famille,nom_commun,worms_aphia_id
pleurobranchus-albiguttatus,Pleurobranchus albiguttatus,Pleurobranchida,Pleurobranchidae,,599473
pleurobranchus-grandis,Pleurobranchus grandis,Pleurobranchida,Pleurobranchidae,,599475
pleurobranchus-peroni,▪️ Pleurobranchus peroni,Pleurobranchida,Pleurobranchidae,,
plocamopherus-ceylonicus,▪️ Plocamopherus ceylonicus,Doridida,Polyceridae,,
plocamopherus-cf.-telesii,Plocamopherus cf. telesii,Doridida,Polyceridae,,
polybranchia-orientalis,▪️ Polybranchia orientalis,Sacoglossa,Caliphyllidae,,
polycera-japonica,Polycera japonica,Doridida,Polyceridae,,531368
polycera-sp.1,▪️ Polycera sp.1,Doridida,Polyceridae,,
protaeolidia-juliae,Protaeolidia juliae,Aeolida,Facelinidae,,
pteraeolidia-ianthina,Pteraeolidia ianthina,Aeolida,Facelinidae,,213527
roboastra-gracilis,Roboastra gracilis,Doridida,Polyceridae,,531059
rostanga-sp.1,▪️ Rostanga sp.1,Doridida,Dorididae,,
rostanga-sp.2,▪️ Rostanga sp.2,Doridida,Dorididae,,
roxaniella-pittmani,▪️ Roxaniella pittmani,Cephalaspidea,Philinidae,,
runcina-sp.-1,▪️ Runcina sp. 1,Runcinida,Runcinidae,,
sagaminopteron-cf-pohnpei,▪️ Sagaminopteron cf pohnpei,Cephalaspidea,Gastropteridae,,
sagaminopteron-psychedelicum,Sagaminopteron psychedelicum,Cephalaspidea,Gastropteridae,,599450
samla-bicolor,Samla bicolor,Aeolida,Samlidae,,766653
sclerodoris-tuberculata,Sclerodoris tuberculata,Doridida,Discodorididae,,209606
scyllae-sp.-1,Scyllae sp.1,Dendronotida,Scyllaeidae,,
siphopteron-brunneomarginatum,▪️ Siphopteron brunneomarginatum,Cephalaspidea,Gastropteridae,,
siphopteron-flavum,▪️ Siphopteron flavum,Cephalaspidea,Gastropteridae,,
siphopteron-nigromarginatum,▪️ Siphopteron nigromarginatum,Cephalaspidea,Gastropteridae,,
siphopteron-sp.1,Siphopteron sp.1,Cephalaspidea,Gastropteridae,,391593
smaragdinella-calyculata,▪️ Smaragdinella calyculata,Cephalaspidea,Haminoeidae,,
spinoaglaja-orientalis,spinoaglaja-orientalis,Cephalaspidea,Aglajidae,,
stiliger-sp.-1,Stiliger sp.,Sacoglossa,Limapontiidae,,138525
stiliger-sp.-2,Stiliger sp. 2,Sacoglossa,Limapontiidae,,138525
stiliger-sp.3,▪️ Stiliger sp.3,Sacoglossa,Limapontiidae,,
stylocheilus-striatus,Stylocheilus striatus,Aplysiida,Aplysiidae,,224662
stylocheilus-longicauda,Stylocheilus longicauda,Aplysiida,Aplysiidae,,217246
tambja-amakusana,Tambja amakusana,Doridida,Polyceridae,,531195
tambja-morosa,Tambja morosa,Doridida,Polyceridae,,531173
tayuva-lilacina,Tayuva lilacina,Doridida,Discodorididae,,578710
tenellia-lugubris,Tenellia lugubris,Aeolida,Trinchesiidae,,890628
tenellia-minor,▪️ Tenellia minor,Aeolida,Trinchesiidae,,
tenellia-melanobranchia,Tenellia melanobranchia,Aeolida,Trinchesiidae,,
tenellia-cf-pinnifera,Tenellia cf pinnifera,Aeolida,Trinchesiidae,,
tenellia-poritophages,▪️ Tenellia poritophages,Aeolida,Trinchesiidae,,
tenellia-sp.-1,Tenellia sp.1,Aeolida,Trinchesiidae,,138545
tenellia-sp.-2,▪️ Tenellia sp. 2,Aeolida,Trinchesiidae,,
tenellia-sp.-3,Tenellia sp. 3,Aeolida,Trinchesiidae,,138545
tenellia-sp.-4,▪️ Tenellia sp.4,Aeolida,Trinchesiidae,,
tenellia-sp.-5,▪️ Tenellia sp.5,Aeolida,Trinchesiidae,,
tenellia-sp.-6,▪️ Tenellia sp.6,Aeolida,Trinchesiidae,,
tenellia-sp.-7,▪️ Tenellia sp.7,Aeolida,Trinchesiidae,,
tenellia-sp.-8,▪️ Tenellia sp.8,Aeolida,Trinchesiidae,,
tenellia-sp.-9,▪️ Tenellia sp.9,Aeolida,Trinchesiidae,,
tenellia-sp.-10,▪️ Tenellia sp.10,Aeolida,Trinchesiidae,,
tenellia-sp.-11,▪️ Tenellia sp.11,Aeolida,Trinchesiidae,,
tenellia-sp.-13,▪️ Tenellia sp.13,Aeolida,Trinchesiidae,,
tenellia-sp.-14,▪️ Tenellia sp.14,Aeolida,Trinchesiidae,,
tenellia-sp.-15,▪️ Tenellia sp.15,Aeolida,Trinchesiidae,,
tenellia-sp.-21,Tenellia sp.21,Aeolida,Trinchesiidae,,138545
tenellia-sp.-22,▪️ Tenellia sp.22,Aeolida,Trinchesiidae,,
tergiposacca-longicerata,▪️ Tergiposacca longicerata,Aeolida,Trinchesiidae,,
thecacera-pacifica,Thecacera pacifica,Doridida,Polyceridae,,420618
thordisa-albomacula,Thordisa albomacula,Doridida,Discodorididae,,457027
thordisa-cf-tahala,Thordisa cf tahala,Doridida,Discodorididae,,
thordisa-luteola,Thordisa luteola,Doridida,Discodorididae,,457028
thordisa-sp.-1,▪️ Thordisa sp.1,Doridida,Discodorididae,,
thordisa-sp.-2,▪️ Thordisa sp.2,Doridida,Discodorididae,,
thorunna-daniellae,Thorunna daniellae,Doridida,Chromodorididae,,558680
thorunna-florens,Thorunna florens,Doridida,Chromodorididae,,558678
thorunna-cf-halourga,Thorunna cf halourga,Doridida,Chromodorididae,,
thorunna-purpuropedis,Thorunna purpuropedis,Doridida,Chromodorididae,,559979
thorunna-sp.-1,Thorunna sp. 1,Doridida,Chromodorididae,,456530
thorunna-sp.-2,Thorunna sp. 2,Doridida,Chromodorididae,,456530
thorunna-sp.-3,▪️ Thorunna sp.3,Doridida,Chromodorididae,,
thorunna-sp.-4,▪️ Thorunna sp.4,Doridida,Chromodorididae,,
thuridilla-carlsoni,Thuridilia carlsoni,Sacoglossa,Plakobranchidae,,
thuridilla-gracilis,▪️ Thuridilla gracilis,Sacoglossa,Plakobranchidae,,
thuridilla-kathae,▪️ Thuridilla kathae,Sacoglossa,Plakobranchidae,,
thuridilla-livida,▪️ Thuridilla livida,Sacoglossa,Plakobranchidae,,
thuridilla-cf-neona,▪️ Thuridilla cf. neona,Sacoglossa,Plakobranchidae,,
thuridilla-vataae,Thuridilla vataae,Sacoglossa,Plakobranchidae,,494507
thuridilla-sp.-1,Thuridilla sp.1,Sacoglossa,Plakobranchidae,,137929
trapania-cf-aurata,Trapania cf aurata,Doridida,Goniodorididae,,
trapania-euryeia,▪️ Trapania euryeia,Doridida,Goniodorididae,,
trapania-squama,Trapania squama,Doridida,Goniodorididae,,457517
trapania-sp.-2,▪️ Trapania sp.2,Doridida,Goniodorididae,,
trapania-sp.-3,Trapania sp. 3,Doridida,Goniodorididae,,138043
tubulophilinopsis-pilsbryi,Tubulophilinopsis pilsbryi,Cephalaspidea,Aglajidae,,1055261
tylodina-sp.1,tylodina-sp#1,Umbraculida,Tylodinidae,,
vayssierea-felis,▪️ Vayssierea felis,Doridida,Vayssiereidae,,
vellicolla-amphorella,▪️ Vellicolla amphorella,Cephalaspidea,Haminoeidae,,
vellicola-sp.1,▪️ Vellicolla sp.1,Cephalaspidea,Haminoeidae,,
verconia-simplex,Verconia simplex,Doridida,Chromodorididae,,866663
verconia-sp.2,▪️ Verconia sp.2,Doridida,Chromodorididae,,
verconia-varians,▪️ Verconia varians,Doridida,Chromodorididae,,
volvatella-sp.1,▪️ Volvatella sp.1,Sacoglossa,Volvatellidae,,
volvatella-vigourouxi,Volvatella vigourouxi,Sacoglossa,Volvatellidae,,494417
